PublishYear,CountryName,Code,Country,Region,Income group,Population,Population(per ten Million),num_AIconf_papers,num_AIconf_citation,num_AIjournal_papers,num_AIjournal_citation,num_AIpatents,num_AIpatent_citation,num_DLpapers,num_AIconf_papers_pc,num_AIconf_citation_pc,num_AIjournal_papers_pc,num_AIjournal_citation_pc,num_AIpatents_pc,num_AIpatent_citation_pc,num_DLpapers_pc,relative_ai_skill_penetration_fem,num_AIocc_fem,skill_penetration,ai_hiring_index,enroll_share,num_AIstartups,ai_privateinvestment_tot,num_AIstartups_pc,ai_privateinvestment_pc,num_AIconf_papers_scaled,num_AIconf_citation_scaled,num_AIjournal_papers_scaled,num_AIjournal_citation_scaled,num_AIpatents_scaled,num_AIpatent_citation_scaled,num_DLpapers_scaled,num_AIconf_papers_pc_scaled,num_AIconf_citation_pc_scaled,num_AIjournal_papers_pc_scaled,num_AIjournal_citation_pc_scaled,num_AIpatents_pc_scaled,num_AIpatent_citation_pc_scaled,num_DLpapers_pc_scaled,relative_ai_skill_penetration_fem_scaled,num_AIocc_fem_scaled,skill_penetration_scaled,ai_hiring_index_scaled,enroll_share_scaled,num_AIstartups_scaled,ai_privateinvestment_tot_scaled,num_AIstartups_pc_scaled,ai_privateinvestment_pc_scaled,mean
2016,India,IND,IN,South Asia,Lower middle income,1324509589,132.4509589,2794.050001,13171.2,2048.576191,21206.75714,37.50000003,123.4999999,-,21.09497752,99.44208871,15.46667694,160.1102576,0.2831236583,0.9324205797,-,-,-,1.9719,1.000000001,0.5683882514,44,2633692731,0.003321984255,198842.8587,31.18008494,4.61533618,15.62811082,9.64257758,2.016935037,1.398685883,-,3.283954581,1.39229673,3.144785122,1.454072752,1.116819788,1.068928151,-,-,-,73.34211166,4.900780324,93.28347008,3.979006298,12.04932968,1.238141481,2.42855121,6.328548964
2018,India,IND,IN,South Asia,Lower middle income,1352617328,135.2617328,1962.733334,6545.316668,2056.719049,15907.20953,35.00000003,55.66666684,-,14.51063278,48.39001048,15.20547613,117.6031772,0.2587575902,0.4115477873,-,-,-,2.59936,1.252083209,0.5772556946,71,3391754280,0.00524908254,250754.9038,22.19976867,2.796610799,15.68626299,7.482755076,1.94822321,1.179704569,-,2.55748656,1.190897467,3.108276459,1.333312254,1.105873459,1.030423211,-,-,-,97.32175242,14.88245749,95.1288637,5.849545136,15.22973558,1.393793712,2.801584622,5.134966227
2015,Singapore,SGP,SG,East Asia & Pacific,High income,5535002,0.5535002,496.8666676,11961.66668,294.6833345,12683.55,35.5,178.5,27,897.6810985,21610.95277,532.3996892,22915.16787,64.13728486,322.4931084,48.78047018,-,-,-,-,0.2908560515,15,86678832,0.2710026121,1566012.659,6.364712293,4.283333813,3.102694124,6.168957579,1.961965575,1.576238302,2.39947644,100,86.25470674,75.39775155,66.1000579,29.8029688,24.83994313,19.09526175,-,-,-,-,35.52655598,1.969909027,1.363471715,22.85877555,12.25286106,33.82111082
2017,Singapore,SGP,SG,East Asia & Pacific,High income,5612253,0.5612253,412.9269245,7819.848744,289.506554,10103.45284,18.5,35.5,50,735.7596396,13933.52856,515.8472971,18002.48997,32.96358878,63.25445414,89.09078048,-,-,0.9845,1.126419788,0.4761205552,22,67513097,0.3919994341,1202958.901,5.457951402,3.146454543,3.065724173,5.117442936,1.494725153,1.114602015,3.591623037,82.13478083,55.96744652,73.08418402,52.14338472,15.79834836,5.676014928,34.04849229,-,-,35.60664281,9.906593738,74.08174356,2.454863541,1.283062918,32.6317204,9.644002516,25.3500883
2019,Singapore,SGP,SG,East Asia & Pacific,High income,5703569,0.5703569,430.3979182,3955.583333,304.2277795,4922.516682,28.33333334,19.5,99,754.6115743,6935.277425,533.3989638,8630.590218,49.6764979,34.18911913,173.5755279,-,-,0.7581,1.942416745,0.4529293777,52,428597323,0.9117098434,7514546.12,5.64668219,2.085760108,3.170855728,3.005960351,1.764991672,1.062950403,6.131413613,84.21476421,28.35950836,75.53742256,25.51828437,23.30653565,3.527392476,65.3883628,-,-,26.95431331,42.2174257,69.25545367,4.533240028,2.797972104,74.60886561,54.99827268,21.43342567
2020,Singapore,SGP,SG,East Asia & Pacific,High income,5751000,0.5751,327.5845252,637.3000018,406.2036459,2020.537592,29.83333334,9.5,107,569.6131546,1108.155107,706.3182853,3513.3674,51.87503624,16.51886628,186.0545992,1.08776,11,1.06534,2.533554476,0.357454948,45,315263624,0.7889796722,5527479.794,4.536038288,1.174931195,3.899115846,1.823263223,1.806218768,1.030668145,6.546073298,63.80340344,5.371646156,99.70677068,10.98050925,24.29421754,2.221138755,70.01751174,27.38620521,6.657142857,38.69610534,65.62456189,49.38637743,4.048285514,2.322486748,64.69591769,40.71946453,18.38732677
2016,Singapore,SGP,SG,East Asia & Pacific,High income,5607283,0.5607283,471.1500011,12080.05,304.6000014,11152.75,18.33333334,51.5,-,840.2465171,21543.49977,543.2220941,19889.75765,32.69557349,91.84483822,-,-,-,0.86303,1.000000001,0.4669803177,18,38934965,0.321011085,694364.1867,6.086907447,4.315828612,3.173513948,5.545082385,1.490144365,1.166253628,-,93.66309202,85.9886062,76.91042503,57.50501819,15.67794389,7.789527164,-,-,-,30.96442344,4.900780324,72.17957899,2.177746676,1.163164924,26.89797295,5.98930501,29.94269524
2018,Singapore,SGP,SG,East Asia & Pacific,High income,5638676,0.5638676,386.6166679,7384.633332,253.2492438,8333.151515,18.5,80.5,-,685.6515039,13096.39591,449.1289157,14778.56063,32.80912044,142.7640106,-,-,-,0.94012,1.512480078,0.4645458693,43,492534307,0.762590367,8734928.324,5.173734287,3.02699314,2.806792781,4.395959347,1.494725153,1.259872175,-,76.60621881,52.66497769,63.7587959,42.98436206,15.72895427,11.55367015,-,-,-,33.91057221,25.19332864,71.67294868,3.909727082,3.066216235,62.56444663,63.76778536,23.45458798
2015,Argentina,ARG,AR,Latin America & Caribbean,Upper middle income,43131966,4.3131966,25.33333337,157.8333333,45.57500009,477.816666,-,-,2,5.873447404,36.59312292,10.56640917,110.7801731,-,-,0.4636932154,-,-,-,-,0.2033971835,1,7000000,0.002318466077,16229.26254,1.270963251,1.043323354,1.323688252,1.194529675,-,-,1.103664921,1.604523248,1.14435902,2.459862948,1.31392844,-,-,1.172008389,-,-,-,-,17.32558927,1,1.029183519,1.157087056,1.116312926,0.946264849
2018,Argentina,ARG,AR,Latin America & Caribbean,Upper middle income,44494502,4.4494502,21.75000003,41.83333325,41.24166676,497.3333321,-,-,2,4.888244401,9.401910657,9.268935466,111.7741091,-,-,0.4494937375,-,-,-,1.242911342,0.2362497916,1,1050000,0.002247468687,2359.842122,1.232254215,1.011482747,1.292741775,1.202483663,-,-,1.103664921,1.495823217,1.037090319,2.278511939,1.316752162,-,-,1.16674105,-,-,-,14.51928129,24.16250861,1,1.004220618,1.151352578,1.01664902,0.9055950031
2019,Argentina,ARG,AR,Latin America & Caribbean,Upper middle income,44938712,4.4938712,14.41666672,38.08333334,49.48333347,210.666666,-,-,5,3.208072968,8.474504864,11.01129322,46.87866131,-,-,1.112626459,-,-,-,1.605720795,0.2732979664,3,3570000,0.006675758753,7944.152917,1.153035724,1.010453418,1.351599594,1.085653102,-,-,1.259162304,1.310445497,1.033431725,2.522045459,1.132387428,-,-,1.412732123,-,-,-,28.8853585,31.87256262,1.138558432,1.014793141,1.509026721,1.056777173,0.8832543288
2020,Argentina,ARG,AR,Latin America & Caribbean,Upper middle income,45350000,4.535,9.833333373,3,43.00119066,61.64166678,-,-,5,2.168320479,0.6615214994,9.482070708,13.59242928,-,-,1.102535832,-,-,-,2.030588696,0.1940019287,-,-,-,-,1.103524166,1.000823464,1.305307405,1.024918193,-,-,1.259162304,1.195726878,1.002609687,2.308302362,1.037822901,-,-,1.408988975,-,-,-,45.70874888,15.37035337,-,-,-,-,0.8315862547
2016,Argentina,ARG,AR,Latin America & Caribbean,Upper middle income,43590368,4.3590368,29.86666678,437.3499988,40.70000012,595.1666662,-,-,-,6.851666584,100.3317978,9.336925103,136.5362793,-,-,-,-,-,-,0.9999999992,0.2464253319,-,-,-,-,1.319934683,1.120047321,1.288873465,1.242355488,-,-,-,1.712452735,1.395806612,2.288015013,1.387100254,-,-,-,-,-,-,4.900780258,26.28012886,-,-,-,-,0.9795487976
2017,Argentina,ARG,AR,Latin America & Caribbean,Upper middle income,44044811,4.4044811,24.75000006,362.5,54.09444463,607.7111085,-,-,-,5.619277163,82.30254411,12.2816839,137.9756422,-,-,-,-,-,-,1.052207346,0.2296785557,1,4300000,0.00227041501,9762.784542,1.264661781,1.099501895,1.384529821,1.247467956,-,-,-,1.576479978,1.324681625,2.69961101,1.391189413,-,-,-,-,-,-,6.968021798,22.7949761,1,1.017855816,1.153205959,1.069845631,0.9990102899
2015,Australia,AUS,AU,East Asia & Pacific,High income,23815995,2.3815995,846.8666677,12493.63333,680.6218272,19865.10318,47,171.5,71,355.5873553,5245.900214,285.7834943,8341.076316,19.73463632,72.01042829,29.81189742,-,-,-,-,0.2572658228,8,20775972,0.03359087034,87235.3727,10.14559486,4.429352266,5.858871858,9.095788567,2.278039978,1.553640721,4.680104712,40.18937577,21.6949545,40.92761475,24.6957898,9.855310441,6.323290545,12.05881279,-,-,-,-,28.53613123,1.484954514,1.086979858,3.682967298,1.626553883,14.75396867
2017,Australia,AUS,AU,East Asia & Pacific,High income,24601860,2.460186,768.8134938,15055.32857,746.1577452,16663.43619,20,87,216,312.5021823,6119.589564,303.2932247,6773.242424,8.129466634,35.36317986,87.79823965,-,-,0.65144,1.034707123,0.3907811036,30,70823287,0.1219419995,287877.7743,9.302423765,5.132506838,6.326896275,7.790954092,1.535952249,1.280855643,12.19581152,35.43567565,25.14163869,43.37499174,20.24165181,4.641748463,3.614183605,33.56902039,-,-,22.87808776,6.275069767,56.32184621,3.009097271,1.29695064,10.81911103,3.06834489,13.65162323
2018,Australia,AUS,AU,East Asia & Pacific,High income,24982688,2.4982688,768.4011924,10207.95238,711.5694831,15590.13246,30.5,123,223,307.5734654,4086.010432,284.8250289,6240.374319,12.20845411,49.23409363,89.26181202,-,-,0.62201,1.37064234,0.3398362326,43,161166330,0.1721191891,645112.0472,9.297969871,3.801960303,6.079884381,7.353530804,1.824541921,1.397071771,12.55863874,34.89187739,17.11921625,40.79364774,18.72780007,6.47421232,4.639575425,34.11193695,-,-,21.75336136,19.5770144,45.71976639,3.909727082,1.675979952,14.87193571,5.635385344,12.70010735
2019,Australia,AUS,AU,East Asia & Pacific,High income,25364307,2.5364307,860.8407758,6957.414283,873.8591663,11443.03053,39,58.5,353,339.3906152,2742.994036,344.5231783,4511.469809,15.37593753,23.0639063,139.1719474,-,-,0.61674,1.778568248,0.3465761715,45,209015637,0.1774146638,824054.1995,10.29655047,2.909726643,7.238875308,5.663385769,2.058162132,1.188851208,19.29685864,38.40234696,11.82104776,49.1378012,13.81606848,7.897187734,2.704973533,52.62625141,-,-,21.55195775,35.72955681,47.1224075,4.048285514,1.876729111,15.29965258,6.921241094,12.7612481
2020,Australia,AUS,AU,East Asia & Pacific,High income,25651000,2.5651,658.1523833,1225.830952,1137.712018,3620.283729,38,10.5,349,256.57962,477.8881727,443.5351518,1411.361635,14.81423726,4.093407664,136.0570738,0.68037,9,0.64328,2.103858948,0.2288911794,32,289944519,0.1261615387,1143120.208,8.107004725,1.336475871,9.123179072,2.475237308,2.030677401,1.033896371,19.0895288,29.2655927,2.885257742,62.97694211,5.008815584,7.644846816,1.302600593,51.4707797,13.12260618,4.771428571,22.56623701,48.61001312,22.6311161,3.147655703,2.216261823,11.15992431,9.214009214,11.09921052
2016,Australia,AUS,AU,East Asia & Pacific,High income,24190907,2.4190907,758.7833347,13913.4,702.0020226,20518.2079,24.33333334,133.3333334,-,313.6646901,5751.499934,290.1925184,8481.785285,10.05887598,55.11712867,-,-,-,0.60101,1,0.3844931279,12,15740531,0.04960541579,65067.96541,9.194072755,4.819061163,6.011558412,9.361960393,1.655052749,1.430430104,-,35.56393818,23.68953365,41.54387462,25.09553697,5.508525554,5.074472225,-,-,-,20.95080429,4.900780291,55.01326267,1.762071379,1.06585394,4.976466308,1.467261689,14.0790014
2016,Canada,CAN,CA,North America,High income,36109487,3.6109487,922.0761917,20339.18812,911.0273216,17871.86414,28.66666669,105.8333333,64,255.3556609,5632.643885,252.2958362,4949.354206,7.938818595,29.30901049,17.72387406,-,-,0.71856,0.9999999983,0.4268072017,44,71832858,0.1218516342,198930.7076,10.95804737,6.582862809,7.504311496,8.28344705,1.774153249,1.341653895,4.317277487,29.13055008,23.2206493,36.24696449,15.06007624,4.556100825,3.166635891,7.574724255,-,-,25.44321301,4.900780225,63.81919698,3.979006298,1.30118624,10.8118122,2.42918248,12.31878772
2017,Canada,CAN,CA,North America,High income,36543321,3.6543321,886.9531153,16181.99157,916.2185681,19247.75512,14.33333334,93,91,242.7127834,4428.166659,250.7212106,5267.106162,3.922285373,25.44924694,24.9019513,-,-,0.82202,1.159395798,0.4073920079,88,353627252,0.2408100785,967693.2537,10.57862958,5.441762295,7.541384755,8.844189311,1.380205442,1.300224998,5.716753927,27.73562825,18.46901462,36.0268753,15.96279372,2.751694216,2.881307178,10.23745354,-,-,29.39714415,11.21233671,59.77872283,7.027291812,2.483439258,20.42011675,7.953413232,11.57614247
2018,Canada,CAN,CA,North America,High income,37057765,3.7057765,834.0440492,9921.240462,809.9936892,12366.09595,13.83333334,35.66666669,135,225.065934,2677.236596,218.5759689,3336.97835,3.73291086,9.624613542,36.42961199,-,-,0.87355,1.459087933,0.3854697844,128,571789467,0.3454066914,1542968.031,10.00707825,3.723261326,6.782780336,6.039579668,1.366463076,1.115140053,7.997382199,25.78860509,11.56163619,31.5338578,10.47939675,2.666618703,1.711488815,14.51367385,-,-,31.36646632,23.07917293,55.21651356,9.798460462,3.398726938,28.86841243,12.08726527,9.397992171
2019,Canada,CAN,CA,North America,High income,37589262,3.7589262,1058.322918,4965.775003,940.4351331,7319.173455,25.83333334,21.66666669,217,281.5492676,1321.062117,250.1871766,1947.14476,6.872530071,5.764057482,57.72925257,-,-,1.07745,1.947019282,0.3761506728,109,673139996,0.28997643,1790777.366,12.42985559,2.363045586,7.714327228,3.982714144,1.696279845,1.069944892,12.24764398,32.0205594,6.211559367,35.95223208,6.530948755,4.077076265,1.426101516,22.41483943,-,-,39.15891325,42.39967122,53.27712372,8.482155353,3.823937557,24.39129577,13.86799191,9.622887055
2020,Canada,CAN,CA,North America,High income,37912000,3.7912,779.2127362,818.1142859,1343.184276,3838.241957,17.16666669,12,236,205.5319519,215.7929642,354.2900074,1012.408197,4.528029829,3.165224731,62.24941971,0.85278,19,0.9943,2.722233857,0.1859164508,111,796623489,0.2952970984,2119284.728,9.414761806,1.224562544,10.59055813,2.56406585,1.458078846,1.038738709,13.23246073,23.63336962,1.851298232,50.50293432,3.875408742,3.023821754,1.233985706,24.09160899,19.15905064,14.2,35.98116944,73.0956532,13.68769364,8.620713786,4.34200582,24.82104755,16.22860441,9.200965355
2015,Canada,CAN,CA,North America,High income,35702908,3.5702908,900.8333346,31457.55,821.2468271,36684.80636,30.83333334,332,-,252.3137148,8810.920947,230.0223912,10275.01915,8.636084585,92.98962426,-,-,-,-,-,0.2896570695,44,94544851,0.1232392611,264809.9449,10.72857095,9.634719584,6.863144561,15.9506328,1.833703498,2.071770959,-,28.79492419,35.75887849,33.13375168,30.19002506,4.869343936,7.874154195,-,-,-,-,-,35.27703717,3.979006298,1.396473169,10.92389118,2.902582375,15.64196833
2015,South Africa,ZAF,ZA,Sub-Saharan Africa,Upper middle income,55386367,5.5386367,67.70000006,264.7000001,71.70000012,1686.083333,3,7,0,12.22322455,47.7915441,12.94542394,304.4220852,0.5416495362,1.263848918,0,-,-,-,-,0.2237496941,4,35509880,0.007221993817,64113.03345,1.728630085,1.07265697,1.510259803,1.686956903,1.068711827,1.02259758,1,2.305110811,1.188536531,2.792383546,1.864055466,1.232961191,1.093428621,1,-,-,-,-,21.56112737,1.207837649,1.148795166,1.55314627,1.460399668,1.547190778
2016,South Africa,ZAF,ZA,Sub-Saharan Africa,Upper middle income,56203654,5.6203654,80.41666678,320.9166669,63.09090921,607.1590907,1.5,4,0,14.30808516,57.09889733,11.22541058,108.0284016,0.2668865622,0.7116974992,0,-,-,0.32488,1,0.3746492311,4,2070628,0.007116974992,3684.151924,1.866002152,1.08808777,1.448778026,1.247242982,1.027484731,1.012912903,1,2.53513895,1.225253824,2.551973155,1.306110794,1.109525358,1.052611443,1,-,-,10.39794323,4.900780291,52.96466037,1.207837649,1.008502607,1.544663872,1.026165343,1.455926841
2017,South Africa,ZAF,ZA,Sub-Saharan Africa,Upper middle income,57000451,5.7000451,79.72619055,267.8095235,66.44470915,1728.93783,-,-,2,13.98694031,46.98375519,11.65687428,303.3200264,-,-,0.3508744168,-,-,0.07897,1.117754508,0.3500920638,10,9311841,0.01754372084,16336.4339,1.858543267,1.073510497,1.47272917,1.704422187,-,-,1.103664921,2.499706196,1.185349823,2.612279872,1.860924572,-,-,1.130157918,-,-,1,9.563476731,47.85409589,1.623512946,1.038882722,2.386834851,1.117083046,1.188955465
2018,South Africa,ZAF,ZA,Sub-Saharan Africa,Upper middle income,57779622,5.7779622,56.41666672,198.8333327,68.18333356,516.5499987,-,-,2,9.764111423,34.41236302,11.80058491,89.40003082,-,-,0.3461427975,-,-,0.43529,1.244048299,0.3044617823,10,75827691,0.01730713988,131236.0455,1.606741632,1.054577361,1.485145548,1.210315386,-,-,1.103664921,2.033790411,1.135755973,2.632366651,1.25318852,-,-,1.128402709,-,-,14.61748254,14.56430112,38.3580293,1.623512946,1.317946344,2.367726145,1.942737172,1.034323457
2019,South Africa,ZAF,ZA,Sub-Saharan Africa,Upper middle income,58558270,5.855827,78.98125003,56.28333335,87.60119066,828.3690589,0.5,0,2,13.48763378,9.611508903,14.95966166,141.4606441,0.08538503614,0,0.3415401445,-,-,0.44997,1.848013631,0.2902664719,4,13564796,0.006830802891,23164.61193,1.850496031,1.015449099,1.623818073,1.337396765,1,1,1.103664921,2.444616397,1.037917179,3.073918382,1.401090129,1.027986743,1,1.126695341,-,-,15.17850815,38.47936868,35.40385921,1.207837649,1.056725763,1.521549676,1.166149473,1.484390733
2020,South Africa,ZAF,ZA,Sub-Saharan Africa,Upper middle income,59309000,5.9309,63.66666675,10.5,119.9250003,213.1476193,-,-,8,10.73473954,1.77038898,20.22037133,35.93849488,-,-,1.348867794,0.46207,5,0.43822,2.279199468,0.2470286625,7,93729061,0.01195390506,160061.1852,1.685059914,1.002882124,1.854658391,1.086664211,-,-,1.414659686,2.140882357,1.006984143,3.809220384,1.10130696,-,-,1.500366555,5.479454235,1,14.72945836,55.55292882,26.40568732,1.415675297,1.393050566,1.935343974,2.149870992,1.140638207
2015,Israel,ISR,IL,Middle East & North Africa,High income,8380100,0.83801,170.0075759,5261.590909,149.5011908,5296.508333,25.5,228,12,202.8705814,6278.673177,178.4002467,6320.34025,30.42923115,272.0731256,14.31963819,-,-,-,-,0.3870122411,28,145082535,0.3341248911,1731274.507,2.833809886,2.444243499,2.065876601,3.158380075,1.687118268,1.736035478,1.621989529,23.33973363,25.76921985,25.91840079,18.95497929,14.65980141,21.11270217,6.311912746,-,-,-,-,55.53751248,2.870538838,1.608501267,27.95717848,13.44041187,11.97335841
2016,Israel,ISR,IL,Middle East & North Africa,High income,8546000,0.8546,210.7595242,5806.488098,181.5856536,5237.422474,13.5,41,36,246.6177442,6794.392813,212.4802874,6128.507459,15.79686403,47.97566113,42.12497075,-,-,1.14239,1,0.5069444444,60,373731578,0.7020828458,4373175.497,3.274033688,2.593811231,2.295007625,3.134299724,1.357301499,1.132357257,2.865968586,28.16647282,27.80372184,30.68184978,18.40999189,8.086286768,4.546547207,16.62638427,-,-,41.64072543,4.900780291,80.49646848,5.087473758,2.567785862,57.67723838,32.42477936,10.95680678
2018,Israel,ISR,IL,Middle East & North Africa,High income,8882800,0.88828,187.0000003,3584.050001,143.9500003,2692.683334,12,17.5,46,210.5192059,4034.820103,162.0547579,3031.345222,13.50925384,19.70099518,51.78547305,-,-,1.16442,1.003531934,0.4505917232,84,525967034,0.9456477687,5921185.144,3.017370917,1.983778671,2.026232803,2.097195189,1.316074403,1.056493951,3.384293194,24.18362643,16.91727159,23.63375262,9.611108257,7.058589816,2.456374082,20.20997658,-,-,42.48264601,5.040633425,68.76896702,6.750174948,3.206481418,77.35004068,43.54858155,7.946489062
2019,Israel,ISR,IL,Middle East & North Africa,High income,9053300,0.90533,193.5333338,1713,145.3884924,1421.009524,13.5,5.5,53,213.7710379,1892.127733,160.5917096,1569.603928,14.91168966,6.075132824,58.54218904,-,-,1.01001,1.159793833,0.4548227047,111,984002837,1.226072261,10868996.24,3.087947394,1.470197922,2.036505787,1.578926478,1.357301499,1.017755242,3.747120419,24.54240958,8.464399958,23.42925886,5.458374058,7.688626797,1.449097414,22.71640065,-,-,36.58155856,11.2280976,69.64947183,8.620713786,5.12814566,100,79.10292843,6.798400082
